id,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
6828,25.0,3.0,1.0,3.0,115.0,599.09,0.1,9.81,61.04,5879.93,0.2,326.66,15.0,2.0,4.0,0.0,10.0,27.0,62.0,53.0,5.0
3251,63.0,20.0,18.0,2.0,228.0,1329.9,0.02,43.93,30.27,58423.84,0.44,3245.77,54.0,1.0,6.0,0.0,28.0,29.0,139.0,91.0,39.0
8542,14.0,1.0,1.0,1.0,39.0,159.41,0.17,5.78,27.59,921.04,0.05,51.17,8.0,1.0,3.0,0.0,8.0,9.0,26.0,13.0,1.0
3708,8.0,5.0,5.0,1.0,37.0,140.87,0.11,9.33,15.09,1314.81,0.05,73.04,6.0,0.0,0.0,0.0,8.0,6.0,23.0,14.0,9.0
1662,141.0,16.0,12.0,13.0,324.0,2133.53,0.02,46.87,45.52,99995.08,0.71,5555.28,96.0,7.0,34.0,2.0,39.0,57.0,187.0,137.0,28.0
10475,24.0,4.0,4.0,4.0,76.0,365.36,0.06,17.0,21.49,6211.1,0.12,345.06,17.0,0.0,5.0,0.0,14.0,14.0,42.0,34.0,7.0
9392,73.0,9.0,4.0,8.0,206.0,1196.32,0.04,22.85,52.35,27337.42,0.4,1518.75,55.0,7.0,6.0,3.0,19.0,37.0,117.0,89.0,17.0
8020,6.0,1.0,1.0,1.0,11.0,33.0,0.4,2.5,13.2,82.5,0.01,4.58,3.0,0.0,1.0,0.0,4.0,4.0,6.0,5.0,1.0
10734,25.0,5.0,1.0,3.0,56.0,266.27,0.07,13.46,19.78,3584.45,0.09,199.14,19.0,0.0,4.0,0.0,14.0,13.0,31.0,25.0,9.0
8019,6.0,2.0,1.0,1.0,14.0,50.19,0.2,5.0,10.04,250.95,0.02,13.94,4.0,0.0,0.0,0.0,8.0,4.0,9.0,5.0,3.0
6795,172.0,32.0,20.0,15.0,501.0,3120.64,0.02,45.5,68.59,141989.04,1.04,7888.28,132.0,14.0,20.0,4.0,25.0,50.0,325.0,182.0,63.0
5379,4.0,1.0,1.0,1.0,8.0,24.0,0.33,3.0,8.0,72.0,0.01,4.0,2.0,0.0,0.0,0.0,6.0,2.0,6.0,2.0,1.0
7077,30.0,3.0,1.0,3.0,88.0,458.43,0.07,13.71,33.43,6287.07,0.15,349.28,20.0,0.0,7.0,1.0,16.0,21.0,52.0,36.0,5.0
1084,61.0,14.0,1.0,9.0,226.0,1262.2,0.03,33.09,38.15,41761.46,0.42,2320.08,54.0,0.0,5.0,0.0,19.0,29.0,125.0,101.0,27.0
6741,29.0,6.0,6.0,1.0,71.0,344.92,0.05,19.13,18.03,6596.53,0.11,366.47,24.0,0.0,3.0,0.0,17.0,12.0,44.0,27.0,11.0
7381,34.0,3.0,1.0,3.0,83.0,429.1,0.07,13.6,31.55,5835.81,0.14,324.21,24.0,2.0,4.0,0.0,16.0,20.0,49.0,34.0,5.0
9464,13.0,1.0,1.0,1.0,49.0,221.65,0.21,4.81,46.06,1066.71,0.07,59.26,9.0,0.0,2.0,0.0,7.0,16.0,27.0,22.0,1.0
1576,11.0,5.0,5.0,1.0,28.0,114.45,0.1,9.6,11.92,1098.71,0.04,61.04,9.0,0.0,0.0,0.0,12.0,5.0,20.0,8.0,9.0
346,67.0,11.0,1.0,11.0,211.0,1165.47,0.03,38.04,30.64,44336.48,0.39,2463.14,46.0,6.0,13.0,0.0,22.0,24.0,128.0,83.0,15.0
360,165.0,22.0,1.0,18.0,409.0,2661.69,0.04,25.77,103.27,68604.07,0.89,3811.34,136.0,10.0,16.0,1.0,20.0,71.0,226.0,183.0,43.0
10083,47.0,2.0,1.0,2.0,199.0,860.06,0.01,75.83,11.34,65221.5,0.29,3623.42,32.0,3.0,9.0,0.0,14.0,6.0,134.0,65.0,3.0
7370,68.0,13.0,12.0,9.0,183.0,1057.99,0.04,28.26,37.44,29896.72,0.35,1660.93,52.0,6.0,5.0,0.0,24.0,31.0,110.0,73.0,25.0
7601,22.0,3.0,1.0,3.0,77.0,381.47,0.11,9.35,40.8,3566.77,0.13,198.15,17.0,0.0,3.0,0.0,11.0,20.0,43.0,34.0,5.0
9295,11.0,2.0,1.0,2.0,32.0,140.55,0.17,5.91,23.79,830.55,0.05,46.14,8.0,0.0,1.0,0.0,10.0,11.0,19.0,13.0,3.0
5900,26.0,1.0,1.0,1.0,47.0,188.0,0.11,9.5,19.79,1786.0,0.06,99.22,9.0,9.0,6.0,0.0,8.0,8.0,28.0,19.0,1.0
3941,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
434,44.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
7796,9.0,1.0,1.0,1.0,19.0,65.73,0.3,3.33,19.72,219.1,0.02,12.17,5.0,0.0,2.0,0.0,5.0,6.0,11.0,8.0,1.0
6365,45.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
3689,11.0,1.0,1.0,1.0,25.0,106.2,0.18,5.56,19.12,589.99,0.04,32.78,6.0,0.0,3.0,0.0,10.0,9.0,15.0,10.0,1.0
5611,7.0,1.0,1.0,1.0,16.0,55.35,0.44,2.29,24.22,126.52,0.02,7.03,4.0,0.0,1.0,0.0,4.0,7.0,8.0,8.0,1.0
7278,4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,1.0
6839,50.0,10.0,1.0,7.0,236.0,1255.98,0.02,55.0,22.84,69078.63,0.42,3837.7,36.0,3.0,4.0,5.0,22.0,18.0,146.0,90.0,19.0
5756,4.0,1.0,1.0,1.0,11.0,33.0,0.4,2.5,13.2,82.5,0.01,4.58,2.0,0.0,0.0,0.0,4.0,4.0,6.0,5.0,1.0
9061,21.0,3.0,3.0,3.0,42.0,184.48,0.12,8.64,21.36,1593.21,0.06,88.51,17.0,0.0,2.0,0.0,10.0,11.0,23.0,19.0,5.0
8146,17.0,4.0,1.0,1.0,32.0,133.44,0.08,11.79,11.32,1572.66,0.04,87.37,9.0,4.0,1.0,0.0,11.0,7.0,17.0,15.0,7.0
5735,5.0,2.0,1.0,1.0,19.0,68.11,0.13,7.5,9.08,510.86,0.02,28.38,3.0,0.0,0.0,0.0,9.0,3.0,14.0,5.0,3.0
3746,56.0,9.0,7.0,5.0,165.0,900.81,0.03,31.0,29.06,27924.99,0.3,1551.39,42.0,0.0,12.0,0.0,22.0,22.0,103.0,62.0,17.0
4981,34.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
303,43.0,2.0,1.0,2.0,138.0,734.43,0.1,9.73,75.51,7142.89,0.24,396.83,25.0,1.0,9.0,6.0,9.0,31.0,71.0,67.0,3.0
2254,114.0,26.0,20.0,1.0,234.0,1253.67,0.03,38.0,32.99,47639.35,0.42,2646.63,84.0,24.0,3.0,0.0,19.0,22.0,146.0,88.0,51.0
304,21.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
6904,26.0,3.0,1.0,3.0,46.0,208.08,0.22,4.59,45.3,955.89,0.07,53.1,17.0,5.0,2.0,0.0,7.0,16.0,25.0,21.0,5.0
4121,24.0,3.0,1.0,3.0,43.0,185.84,0.2,5.12,36.33,950.66,0.06,52.81,18.0,0.0,4.0,0.0,7.0,13.0,24.0,19.0,5.0
6684,21.0,4.0,1.0,4.0,25.0,89.62,0.4,2.5,35.85,224.06,0.03,12.45,14.0,2.0,3.0,0.0,4.0,8.0,15.0,10.0,7.0
7542,4.0,1.0,1.0,1.0,10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,2.0,0.0,0.0,0.0,5.0,4.0,6.0,4.0,1.0
1281,56.0,8.0,7.0,5.0,115.0,638.78,0.06,17.78,35.93,11356.05,0.21,630.89,45.0,0.0,9.0,0.0,20.0,27.0,67.0,48.0,14.0
8489,28.0,9.0,7.0,5.0,67.0,314.93,0.07,15.0,21.0,4723.94,0.1,262.44,24.0,0.0,2.0,0.0,13.0,13.0,37.0,30.0,17.0
5199,15.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
7951,22.0,3.0,1.0,2.0,68.0,315.78,0.04,22.31,14.15,7045.89,0.11,391.44,15.0,2.0,3.0,0.0,17.0,8.0,47.0,21.0,5.0
10177,14.0,2.0,1.0,2.0,48.0,207.45,0.1,10.39,19.97,2155.2,0.07,119.73,9.0,0.0,3.0,0.0,11.0,9.0,31.0,17.0,3.0
4667,23.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
9455,11.0,2.0,1.0,1.0,24.0,100.08,0.18,5.63,17.79,562.94,0.03,31.27,7.0,0.0,2.0,0.0,10.0,8.0,15.0,9.0,3.0
5053,61.0,11.0,1.0,4.0,137.0,665.54,0.07,14.62,45.51,9733.57,0.22,540.75,56.0,0.0,2.0,0.0,13.0,16.0,101.0,36.0,21.0
5899,8.0,1.0,1.0,1.0,38.0,148.46,0.14,7.0,21.21,1039.23,0.05,57.74,6.0,0.0,0.0,0.0,7.0,8.0,22.0,16.0,1.0
8546,14.0,1.0,1.0,1.0,42.0,171.67,0.12,8.57,20.03,1471.49,0.06,81.75,8.0,0.0,4.0,0.0,10.0,7.0,30.0,12.0,1.0
3045,214.0,24.0,11.0,10.0,579.0,3855.1,0.02,51.15,75.36,197199.3,1.29,10955.52,151.0,51.0,10.0,2.0,29.0,72.0,325.0,254.0,47.0
10252,4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0
5033,59.0,14.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
7423,12.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,5.0,7.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0
1594,115.0,22.0,12.0,14.0,369.0,2002.29,0.02,65.86,30.4,131878.2,0.67,7326.57,99.0,7.0,7.0,0.0,21.0,22.0,231.0,138.0,43.0
5186,21.0,2.0,1.0,2.0,84.0,420.0,0.09,11.29,37.2,4741.58,0.14,263.42,13.0,1.0,5.0,0.0,13.0,19.0,51.0,33.0,3.0
1157,62.0,1.0,1.0,1.0,155.0,904.1,0.09,10.78,83.84,9749.87,0.3,541.66,36.0,13.0,11.0,0.0,13.0,44.0,82.0,73.0,1.0
668,15.0,2.0,1.0,2.0,27.0,102.8,0.22,4.5,22.84,462.59,0.03,25.7,9.0,1.0,3.0,0.0,6.0,8.0,15.0,12.0,3.0
6730,81.0,8.0,6.0,4.0,143.0,750.45,0.04,28.33,26.49,21262.85,0.25,1181.27,36.0,14.0,24.0,3.0,20.0,18.0,92.0,51.0,15.0
6403,4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,1.0
318,26.0,2.0,1.0,2.0,40.0,166.8,0.15,6.8,24.53,1134.22,0.06,63.01,14.0,7.0,3.0,0.0,8.0,10.0,23.0,17.0,3.0
8943,4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0
694,234.0,23.0,16.0,15.0,637.0,4104.16,0.02,59.4,69.09,243786.81,1.37,13543.71,134.0,81.0,17.0,0.0,27.0,60.0,373.0,264.0,45.0
10650,40.0,14.0,7.0,8.0,179.0,1034.85,0.05,21.31,48.57,22051.72,0.34,1225.1,30.0,0.0,8.0,0.0,21.0,34.0,110.0,69.0,27.0
6728,19.0,4.0,1.0,3.0,55.0,248.8,0.08,12.38,20.1,3078.85,0.08,171.05,14.0,0.0,3.0,0.0,11.0,12.0,28.0,27.0,7.0
9737,43.0,6.0,3.0,4.0,123.0,654.6,0.06,15.6,41.96,10211.72,0.22,567.32,34.0,0.0,7.0,0.0,15.0,25.0,71.0,52.0,11.0
10814,5.0,2.0,1.0,1.0,14.0,50.19,0.4,2.5,20.08,125.47,0.02,6.97,3.0,0.0,0.0,0.0,5.0,7.0,7.0,7.0,3.0
8818,5.0,1.0,1.0,1.0,9.0,25.27,0.67,1.5,16.84,37.9,0.01,2.11,3.0,0.0,0.0,0.0,3.0,4.0,5.0,4.0,1.0
7739,4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,1.0
3995,7.0,1.0,1.0,1.0,17.0,58.81,0.44,2.29,25.73,134.42,0.02,7.47,5.0,0.0,0.0,0.0,4.0,7.0,9.0,8.0,1.0
1284,20.0,3.0,1.0,3.0,38.0,166.91,0.11,8.8,18.97,1468.79,0.06,81.6,14.0,2.0,2.0,0.0,11.0,10.0,22.0,16.0,5.0
251,79.0,7.0,1.0,6.0,146.0,771.67,0.07,15.0,51.44,11575.03,0.26,643.06,35.0,18.0,16.0,7.0,13.0,26.0,86.0,60.0,13.0
1718,28.0,4.0,4.0,4.0,70.0,332.84,0.11,9.12,36.51,3034.74,0.11,168.6,16.0,5.0,5.0,0.0,10.0,17.0,39.0,31.0,7.0
1953,65.0,9.0,4.0,5.0,178.0,940.8,0.04,23.57,39.91,22176.04,0.31,1232.0,45.0,8.0,10.0,0.0,18.0,21.0,123.0,55.0,17.0
1194,16.0,2.0,1.0,2.0,38.0,152.0,0.08,12.5,12.16,1900.0,0.05,105.56,5.0,1.0,3.0,5.0,10.0,6.0,23.0,15.0,3.0
2138,64.0,6.0,1.0,6.0,212.0,1029.89,0.02,47.68,21.6,49103.78,0.34,2727.99,43.0,8.0,8.0,0.0,15.0,14.0,123.0,89.0,11.0
3495,404.0,24.0,1.0,12.0,1586.0,11778.06,0.02,61.65,191.05,726113.14,3.93,40339.62,322.0,12.0,66.0,2.0,25.0,147.0,868.0,725.0,47.0
10480,4.0,1.0,1.0,1.0,13.0,44.97,0.33,3.0,14.99,134.92,0.01,7.5,2.0,0.0,0.0,0.0,6.0,5.0,8.0,5.0,1.0
35,63.0,21.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
1110,17.0,2.0,1.0,2.0,36.0,152.93,0.13,7.78,19.66,1189.42,0.05,66.08,12.0,0.0,3.0,0.0,10.0,9.0,22.0,14.0,3.0
5936,7.0,1.0,1.0,1.0,16.0,44.92,0.25,4.0,11.23,179.67,0.01,9.98,4.0,1.0,0.0,0.0,4.0,3.0,10.0,6.0,1.0
7092,14.0,1.0,1.0,1.0,62.0,301.19,0.09,10.56,28.52,3181.37,0.1,176.74,11.0,0.0,1.0,0.0,13.0,16.0,36.0,26.0,1.0
621,69.0,2.0,1.0,2.0,586.0,3973.88,0.12,8.39,473.41,33357.64,1.32,1853.2,62.0,2.0,3.0,0.0,6.0,104.0,295.0,291.0,3.0
1432,104.0,13.0,10.0,13.0,265.0,1640.3,0.04,27.14,60.44,44517.84,0.55,2473.21,74.0,25.0,3.0,0.0,23.0,50.0,147.0,118.0,25.0
3080,11.0,1.0,1.0,1.0,49.0,186.56,0.11,9.0,20.73,1679.04,0.06,93.28,8.0,0.0,0.0,1.0,7.0,7.0,31.0,18.0,1.0
6739,28.0,6.0,5.0,2.0,63.0,306.05,0.07,14.77,20.72,4520.16,0.1,251.12,21.0,0.0,5.0,0.0,16.0,13.0,39.0,24.0,11.0
5273,4.0,1.0,1.0,1.0,12.0,39.86,0.4,2.5,15.95,99.66,0.01,5.54,2.0,0.0,0.0,0.0,5.0,5.0,7.0,5.0,1.0
9344,11.0,2.0,1.0,2.0,22.0,88.0,0.17,5.83,15.09,513.33,0.03,28.52,9.0,0.0,0.0,0.0,10.0,6.0,15.0,7.0,3.0
5477,25.0,5.0,1.0,5.0,53.0,239.75,0.11,9.17,26.15,2197.7,0.08,122.09,19.0,0.0,4.0,0.0,11.0,12.0,33.0,20.0,6.0
673,54.0,3.0,1.0,2.0,194.0,1121.58,0.05,21.16,53.0,23735.14,0.37,1318.62,43.0,5.0,4.0,0.0,18.0,37.0,107.0,87.0,5.0
7288,4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0
5236,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0
9114,112.0,8.0,1.0,7.0,602.0,3726.27,0.02,51.02,73.04,190109.0,1.24,10561.61,80.0,5.0,25.0,0.0,19.0,54.0,312.0,290.0,15.0
2227,15.0,4.0,3.0,2.0,33.0,137.61,0.08,11.79,11.68,1621.8,0.05,90.1,11.0,0.0,2.0,0.0,11.0,7.0,18.0,15.0,7.0
95,50.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
8773,13.0,3.0,1.0,1.0,34.0,138.97,0.12,8.44,16.47,1172.59,0.05,65.14,10.0,0.0,1.0,0.0,9.0,8.0,19.0,15.0,5.0
4604,111.0,29.0,23.0,3.0,298.0,1730.59,0.03,30.79,56.21,53284.01,0.58,2960.22,68.0,32.0,11.0,0.0,18.0,38.0,168.0,130.0,57.0
6772,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0
9810,32.0,6.0,6.0,4.0,81.0,397.46,0.07,14.0,28.39,5564.41,0.13,309.13,23.0,2.0,4.0,1.0,14.0,16.0,49.0,32.0,11.0
5292,23.0,4.0,3.0,2.0,50.0,242.9,0.09,11.25,21.59,2732.61,0.08,151.81,18.0,0.0,3.0,0.0,15.0,14.0,29.0,21.0,7.0
4848,27.0,1.0,1.0,1.0,163.0,884.48,0.08,13.16,67.2,11640.91,0.29,646.72,16.0,5.0,4.0,0.0,12.0,31.0,95.0,68.0,1.0
3777,35.0,4.0,1.0,3.0,132.0,702.49,0.06,17.37,40.44,12202.02,0.23,677.89,21.0,4.0,7.0,1.0,17.0,23.0,85.0,47.0,7.0
895,28.0,3.0,1.0,3.0,72.0,375.08,0.13,7.44,50.41,2790.6,0.13,155.03,22.0,0.0,2.0,2.0,12.0,25.0,41.0,31.0,5.0
795,12.0,4.0,1.0,2.0,45.0,203.56,0.11,8.71,23.38,1772.67,0.07,98.48,8.0,0.0,2.0,0.0,11.0,12.0,26.0,19.0,7.0
5015,55.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4161,116.0,23.0,7.0,11.0,398.0,2405.67,0.02,42.93,56.03,103283.38,0.8,5737.97,79.0,15.0,13.0,7.0,21.0,45.0,214.0,184.0,45.0
5743,25.0,2.0,1.0,2.0,44.0,206.82,0.1,10.23,20.22,2115.2,0.07,117.51,17.0,2.0,3.0,0.0,15.0,11.0,29.0,15.0,3.0
8695,12.0,1.0,1.0,1.0,42.0,164.09,0.19,5.33,30.77,875.14,0.05,48.62,8.0,0.0,0.0,0.0,6.0,9.0,26.0,16.0,1.0
7831,152.0,23.0,8.0,9.0,564.0,3908.94,0.03,35.67,109.59,139425.57,1.3,7745.87,128.0,18.0,6.0,0.0,27.0,95.0,313.0,251.0,45.0
5317,13.0,2.0,1.0,1.0,21.0,69.76,0.11,9.33,7.47,651.1,0.02,36.17,8.0,0.0,3.0,0.0,7.0,3.0,13.0,8.0,3.0
10796,24.0,3.0,1.0,2.0,56.0,249.73,0.09,11.0,22.7,2747.01,0.08,152.61,19.0,0.0,3.0,0.0,11.0,11.0,34.0,22.0,5.0
8938,32.0,5.0,1.0,5.0,113.0,554.48,0.06,16.67,33.27,9241.31,0.18,513.4,29.0,0.0,1.0,0.0,12.0,18.0,63.0,50.0,6.0
4032,7.0,1.0,1.0,1.0,15.0,51.89,0.24,4.2,12.36,217.94,0.02,12.11,4.0,0.0,1.0,0.0,6.0,5.0,8.0,7.0,1.0
1041,9.0,2.0,1.0,2.0,26.0,96.21,0.27,3.75,25.66,360.79,0.03,20.04,7.0,0.0,0.0,0.0,5.0,8.0,14.0,12.0,3.0
7665,11.0,1.0,1.0,1.0,28.0,109.39,0.25,4.0,27.35,437.57,0.04,24.31,8.0,0.0,1.0,0.0,6.0,9.0,16.0,12.0,1.0
5994,4.0,1.0,1.0,1.0,8.0,24.0,0.33,3.0,8.0,72.0,0.01,4.0,2.0,0.0,0.0,0.0,6.0,2.0,6.0,2.0,1.0
101,13.0,2.0,1.0,2.0,59.0,236.0,0.13,7.8,30.26,1840.8,0.08,102.27,9.0,0.0,2.0,0.0,6.0,10.0,33.0,26.0,3.0
4983,62.0,5.0,1.0,2.0,382.0,2349.2,0.03,34.51,68.07,81070.55,0.78,4503.92,42.0,13.0,7.0,0.0,20.0,51.0,206.0,176.0,9.0
2611,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10183,210.0,52.0,1.0,52.0,511.0,3018.42,0.08,12.35,244.43,37274.65,1.01,2070.81,191.0,0.0,17.0,0.0,7.0,53.0,324.0,187.0,103.0
