id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,target
16,50.0,84.0,66.0,100.0,75.0,75.0,51.0,51.0,100.0,42.0,97.0,13.0,49.0,0.0,0.0,7.0,-1
17,99.0,80.0,63.0,100.0,25.0,76.0,79.0,68.0,100.0,62.0,97.0,23.0,54.0,0.0,0.0,16.0,-1
18,24.0,66.0,43.0,100.0,59.0,65.0,34.0,28.0,0.0,1.0,16.0,11.0,58.0,0.0,100.0,1.0,-1
19,0.0,73.0,19.0,99.0,72.0,100.0,70.0,73.0,32.0,48.0,5.0,18.0,46.0,0.0,100.0,0.0,-1
20,12.0,77.0,20.0,62.0,78.0,40.0,50.0,0.0,1.0,17.0,0.0,64.0,23.0,98.0,100.0,100.0,1
21,0.0,46.0,49.0,64.0,78.0,87.0,100.0,100.0,91.0,75.0,85.0,49.0,75.0,24.0,89.0,0.0,-1
22,10.0,86.0,34.0,66.0,68.0,34.0,34.0,0.0,4.0,26.0,0.0,69.0,34.0,95.0,100.0,100.0,1
23,73.0,62.0,53.0,100.0,0.0,72.0,82.0,39.0,100.0,0.0,15.0,14.0,52.0,57.0,90.0,94.0,-1
24,54.0,100.0,34.0,75.0,6.0,43.0,0.0,11.0,70.0,0.0,100.0,28.0,44.0,46.0,36.0,21.0,-1
25,11.0,100.0,0.0,69.0,15.0,43.0,87.0,47.0,100.0,65.0,74.0,67.0,71.0,33.0,66.0,0.0,-1
26,36.0,92.0,7.0,83.0,0.0,37.0,26.0,0.0,77.0,6.0,100.0,46.0,84.0,89.0,36.0,100.0,-1
27,46.0,100.0,10.0,83.0,34.0,64.0,100.0,77.0,71.0,82.0,49.0,54.0,22.0,27.0,0.0,0.0,-1
28,61.0,59.0,58.0,100.0,0.0,84.0,44.0,42.0,80.0,0.0,8.0,5.0,33.0,44.0,100.0,70.0,-1
29,100.0,84.0,31.0,100.0,0.0,88.0,8.0,70.0,15.0,53.0,15.0,35.0,0.0,17.0,0.0,0.0,-1
30,32.0,59.0,53.0,100.0,100.0,95.0,79.0,46.0,48.0,0.0,93.0,19.0,58.0,55.0,0.0,63.0,-1
31,40.0,99.0,51.0,66.0,79.0,26.0,39.0,0.0,0.0,27.0,8.0,77.0,46.0,100.0,100.0,94.0,1
32,0.0,98.0,36.0,100.0,80.0,85.0,68.0,42.0,56.0,0.0,25.0,23.0,50.0,37.0,100.0,32.0,-1
33,27.0,76.0,1.0,42.0,16.0,0.0,70.0,3.0,100.0,40.0,92.0,84.0,44.0,100.0,0.0,73.0,-1
34,0.0,0.0,31.0,15.0,63.0,30.0,88.0,52.0,100.0,79.0,82.0,100.0,56.0,82.0,79.0,64.0,-1
35,30.0,86.0,67.0,100.0,77.0,77.0,53.0,50.0,78.0,40.0,100.0,17.0,56.0,0.0,0.0,5.0,-1
36,29.0,91.0,14.0,57.0,66.0,39.0,30.0,0.0,0.0,19.0,3.0,72.0,39.0,97.0,100.0,100.0,1
37,77.0,97.0,40.0,100.0,0.0,59.0,9.0,29.0,84.0,33.0,100.0,64.0,77.0,44.0,48.0,0.0,-1
38,64.0,93.0,0.0,67.0,97.0,67.0,89.0,100.0,14.0,70.0,100.0,68.0,96.0,36.0,28.0,0.0,-1
39,9.0,93.0,53.0,100.0,89.0,80.0,57.0,52.0,17.0,30.0,0.0,5.0,50.0,2.0,100.0,0.0,-1
40,0.0,93.0,62.0,100.0,100.0,78.0,69.0,43.0,50.0,5.0,35.0,0.0,15.0,35.0,86.0,37.0,-1
41,30.0,87.0,16.0,55.0,68.0,41.0,52.0,0.0,0.0,16.0,15.0,63.0,41.0,100.0,100.0,98.0,1
42,60.0,100.0,20.0,76.0,0.0,39.0,10.0,1.0,69.0,0.0,100.0,33.0,56.0,40.0,15.0,10.0,-1
43,0.0,83.0,29.0,100.0,88.0,95.0,64.0,69.0,73.0,43.0,100.0,13.0,50.0,1.0,10.0,0.0,-1
44,5.0,90.0,46.0,98.0,89.0,100.0,100.0,81.0,77.0,59.0,62.0,34.0,37.0,14.0,0.0,0.0,-1
45,100.0,99.0,67.0,100.0,24.0,68.0,0.0,32.0,27.0,0.0,99.0,8.0,77.0,40.0,9.0,55.0,-1
46,47.0,86.0,73.0,100.0,89.0,75.0,68.0,49.0,100.0,28.0,82.0,4.0,38.0,0.0,0.0,13.0,-1
47,29.0,72.0,45.0,100.0,78.0,78.0,60.0,41.0,25.0,12.0,0.0,4.0,50.0,6.0,100.0,0.0,-1
48,1.0,88.0,0.0,54.0,59.0,31.0,36.0,0.0,11.0,28.0,4.0,68.0,28.0,97.0,100.0,100.0,1
49,63.0,100.0,40.0,73.0,70.0,63.0,100.0,77.0,79.0,74.0,55.0,48.0,29.0,23.0,0.0,0.0,-1
50,11.0,92.0,56.0,100.0,83.0,82.0,52.0,59.0,87.0,39.0,100.0,14.0,55.0,0.0,0.0,0.0,-1
51,51.0,76.0,68.0,91.0,100.0,100.0,83.0,80.0,59.0,60.0,34.0,40.0,10.0,20.0,0.0,0.0,-1
52,56.0,99.0,18.0,72.0,0.0,24.0,36.0,0.0,85.0,23.0,100.0,69.0,58.0,100.0,19.0,74.0,-1
53,0.0,75.0,47.0,87.0,100.0,100.0,91.0,80.0,72.0,60.0,53.0,40.0,35.0,20.0,19.0,0.0,-1
54,17.0,100.0,0.0,74.0,6.0,36.0,77.0,37.0,100.0,63.0,73.0,95.0,71.0,47.0,75.0,0.0,-1
55,41.0,96.0,17.0,76.0,50.0,37.0,31.0,0.0,0.0,34.0,1.0,86.0,49.0,98.0,100.0,100.0,1
56,20.0,82.0,62.0,100.0,100.0,81.0,68.0,54.0,82.0,50.0,89.0,19.0,42.0,0.0,0.0,13.0,-1
57,12.0,78.0,40.0,100.0,74.0,77.0,52.0,41.0,13.0,14.0,0.0,17.0,50.0,8.0,100.0,0.0,-1
58,18.0,73.0,0.0,73.0,10.0,24.0,54.0,0.0,100.0,22.0,95.0,71.0,52.0,100.0,5.0,84.0,-1
59,97.0,100.0,41.0,90.0,4.0,58.0,0.0,22.0,52.0,0.0,100.0,22.0,49.0,38.0,8.0,13.0,-1
60,57.0,63.0,100.0,100.0,0.0,91.0,36.0,53.0,95.0,16.0,2.0,0.0,5.0,36.0,91.0,67.0,-1
61,30.0,81.0,87.0,100.0,100.0,98.0,37.0,86.0,46.0,54.0,99.0,32.0,59.0,2.0,0.0,0.0,1
62,12.0,61.0,0.0,20.0,44.0,0.0,92.0,23.0,100.0,64.0,70.0,100.0,15.0,92.0,0.0,52.0,-1
63,0.0,84.0,50.0,100.0,72.0,79.0,37.0,52.0,51.0,41.0,100.0,27.0,62.0,3.0,3.0,0.0,-1
64,0.0,100.0,61.0,100.0,100.0,93.0,63.0,64.0,36.0,33.0,14.0,0.0,9.0,29.0,47.0,42.0,-1
65,100.0,79.0,67.0,100.0,26.0,76.0,41.0,38.0,47.0,0.0,0.0,8.0,38.0,38.0,96.0,58.0,-1
66,37.0,91.0,84.0,100.0,100.0,96.0,52.0,87.0,32.0,57.0,74.0,38.0,41.0,1.0,0.0,0.0,1
67,100.0,100.0,58.0,83.0,31.0,55.0,17.0,24.0,43.0,0.0,80.0,19.0,50.0,43.0,0.0,39.0,-1
68,94.0,79.0,40.0,100.0,13.0,65.0,59.0,30.0,67.0,0.0,0.0,17.0,45.0,52.0,100.0,83.0,-1
69,0.0,82.0,75.0,56.0,100.0,12.0,22.0,0.0,22.0,41.0,92.0,73.0,84.0,100.0,2.0,80.0,-1
70,80.0,100.0,36.0,100.0,58.0,80.0,65.0,82.0,82.0,47.0,100.0,14.0,53.0,0.0,0.0,7.0,-1
71,35.0,76.0,0.0,42.0,11.0,0.0,65.0,5.0,100.0,41.0,97.0,85.0,49.0,100.0,9.0,69.0,-1
72,34.0,100.0,21.0,76.0,0.0,35.0,43.0,30.0,91.0,29.0,100.0,41.0,74.0,46.0,67.0,0.0,-1
73,0.0,75.0,31.0,72.0,67.0,84.0,100.0,100.0,94.0,82.0,80.0,54.0,68.0,27.0,56.0,0.0,-1
74,90.0,71.0,100.0,100.0,25.0,85.0,10.0,50.0,80.0,62.0,99.0,53.0,64.0,17.0,0.0,0.0,-1
75,0.0,97.0,42.0,100.0,67.0,71.0,53.0,35.0,34.0,0.0,16.0,23.0,40.0,42.0,100.0,42.0,-1
76,38.0,94.0,4.0,63.0,0.0,20.0,41.0,0.0,84.0,19.0,100.0,60.0,77.0,98.0,32.0,100.0,-1
77,72.0,100.0,38.0,88.0,2.0,57.0,0.0,19.0,51.0,0.0,100.0,20.0,55.0,34.0,12.0,7.0,-1
78,26.0,79.0,69.0,100.0,92.0,85.0,56.0,56.0,90.0,42.0,100.0,15.0,51.0,0.0,0.0,2.0,-1
79,8.0,77.0,47.0,100.0,100.0,96.0,71.0,66.0,100.0,46.0,99.0,13.0,46.0,0.0,0.0,13.0,-1
80,31.0,73.0,55.0,100.0,55.0,53.0,33.0,14.0,0.0,0.0,30.0,11.0,65.0,1.0,100.0,1.0,-1
81,46.0,100.0,21.0,85.0,0.0,60.0,24.0,42.0,68.0,44.0,100.0,49.0,76.0,25.0,58.0,0.0,-1
82,41.0,69.0,76.0,100.0,73.0,81.0,57.0,39.0,46.0,0.0,0.0,10.0,50.0,9.0,100.0,10.0,-1
83,32.0,100.0,12.0,76.0,0.0,48.0,1.0,21.0,39.0,0.0,100.0,9.0,64.0,21.0,18.0,3.0,-1
84,16.0,90.0,9.0,61.0,50.0,35.0,23.0,0.0,5.0,35.0,0.0,81.0,48.0,97.0,100.0,100.0,1
85,21.0,88.0,0.0,57.0,88.0,58.0,88.0,18.0,15.0,0.0,8.0,42.0,12.0,83.0,100.0,100.0,1
86,0.0,100.0,54.0,98.0,91.0,85.0,71.0,52.0,62.0,17.0,74.0,0.0,100.0,32.0,42.0,37.0,-1
87,47.0,93.0,1.0,67.0,0.0,16.0,53.0,0.0,100.0,32.0,95.0,81.0,42.0,100.0,7.0,62.0,-1
88,38.0,51.0,8.0,66.0,0.0,19.0,42.0,0.0,87.0,26.0,100.0,71.0,61.0,100.0,16.0,84.0,-1
89,95.0,92.0,50.0,100.0,21.0,77.0,74.0,87.0,100.0,86.0,69.0,56.0,37.0,26.0,0.0,0.0,-1
90,18.0,88.0,2.0,54.0,40.0,25.0,2.0,0.0,0.0,30.0,20.0,70.0,45.0,100.0,100.0,93.0,1
91,39.0,100.0,23.0,82.0,0.0,52.0,1.0,21.0,48.0,0.0,100.0,16.0,70.0,42.0,6.0,55.0,-1
92,22.0,100.0,1.0,66.0,0.0,33.0,50.0,32.0,100.0,36.0,82.0,63.0,77.0,30.0,71.0,0.0,-1
93,3.0,96.0,53.0,100.0,81.0,68.0,83.0,28.0,72.0,0.0,100.0,34.0,51.0,41.0,0.0,43.0,-1
94,0.0,65.0,38.0,79.0,62.0,100.0,72.0,86.0,77.0,65.0,79.0,43.0,83.0,21.0,100.0,0.0,-1
95,19.0,81.0,0.0,41.0,12.0,0.0,54.0,1.0,88.0,29.0,100.0,71.0,72.0,100.0,31.0,91.0,-1
96,0.0,60.0,38.0,80.0,80.0,100.0,100.0,92.0,80.0,69.0,65.0,46.0,55.0,23.0,55.0,0.0,-1
97,40.0,72.0,16.0,50.0,96.0,69.0,70.0,100.0,0.0,73.0,65.0,57.0,100.0,47.0,94.0,0.0,-1
98,100.0,100.0,63.0,78.0,28.0,53.0,0.0,27.0,4.0,0.0,60.0,1.0,78.0,22.0,24.0,21.0,-1
99,33.0,58.0,19.0,90.0,78.0,100.0,91.0,62.0,51.0,28.0,0.0,2.0,37.0,1.0,100.0,0.0,-1
100,14.0,91.0,9.0,52.0,28.0,10.0,74.0,0.0,100.0,38.0,86.0,81.0,43.0,100.0,0.0,80.0,-1
101,20.0,85.0,62.0,100.0,71.0,72.0,45.0,52.0,98.0,47.0,100.0,17.0,53.0,0.0,0.0,0.0,-1
102,9.0,100.0,0.0,66.0,20.0,25.0,61.0,0.0,100.0,21.0,93.0,64.0,54.0,91.0,9.0,76.0,-1
103,42.0,83.0,60.0,53.0,89.0,11.0,13.0,0.0,0.0,33.0,77.0,57.0,100.0,92.0,18.0,100.0,-1
104,4.0,63.0,12.0,15.0,52.0,0.0,92.0,15.0,100.0,63.0,72.0,100.0,28.0,97.0,0.0,62.0,-1
105,38.0,94.0,90.0,100.0,94.0,79.0,59.0,57.0,68.0,33.0,100.0,12.0,54.0,0.0,0.0,1.0,-1
106,22.0,55.0,10.0,60.0,0.0,18.0,46.0,0.0,89.0,28.0,100.0,70.0,68.0,100.0,29.0,69.0,-1
107,27.0,100.0,0.0,58.0,12.0,5.0,62.0,0.0,100.0,39.0,97.0,91.0,48.0,97.0,18.0,53.0,-1
108,43.0,94.0,15.0,66.0,52.0,38.0,20.0,0.0,5.0,35.0,0.0,83.0,42.0,100.0,100.0,98.0,1
109,0.0,87.0,37.0,100.0,19.0,70.0,5.0,42.0,88.0,49.0,100.0,58.0,84.0,28.0,88.0,0.0,-1
110,73.0,98.0,35.0,100.0,0.0,59.0,0.0,13.0,71.0,8.0,100.0,45.0,29.0,41.0,9.0,0.0,-1
111,15.0,73.0,0.0,34.0,30.0,0.0,81.0,1.0,100.0,38.0,87.0,78.0,44.0,100.0,16.0,68.0,-1
112,85.0,100.0,30.0,84.0,5.0,54.0,0.0,22.0,48.0,0.0,100.0,21.0,66.0,47.0,0.0,37.0,-1
113,0.0,88.0,24.0,68.0,76.0,33.0,43.0,0.0,29.0,32.0,84.0,66.0,100.0,100.0,8.0,89.0,-1
114,50.0,97.0,72.0,68.0,100.0,100.0,42.0,86.0,93.0,72.0,89.0,48.0,70.0,7.0,0.0,0.0,-1
115,42.0,100.0,9.0,79.0,0.0,46.0,48.0,31.0,100.0,46.0,89.0,52.0,46.0,30.0,19.0,0.0,-1
116,7.0,100.0,0.0,56.0,51.0,37.0,39.0,0.0,9.0,15.0,5.0,62.0,42.0,92.0,100.0,96.0,1
117,100.0,77.0,92.0,100.0,49.0,76.0,18.0,48.0,0.0,15.0,38.0,0.0,75.0,23.0,29.0,27.0,-1
118,44.0,66.0,67.0,100.0,80.0,62.0,47.0,25.0,5.0,0.0,0.0,3.0,50.0,4.0,100.0,7.0,-1
119,37.0,100.0,48.0,57.0,74.0,97.0,27.0,97.0,80.0,68.0,100.0,26.0,49.0,0.0,0.0,22.0,-1
120,100.0,89.0,40.0,83.0,63.0,40.0,84.0,0.0,0.0,7.0,53.0,53.0,80.0,100.0,3.0,78.0,-1
121,45.0,93.0,0.0,60.0,75.0,69.0,89.0,29.0,19.0,0.0,15.0,43.0,26.0,93.0,100.0,100.0,1
122,45.0,100.0,10.0,67.0,7.0,16.0,56.0,0.0,100.0,31.0,91.0,79.0,38.0,95.0,0.0,61.0,-1
123,13.0,68.0,15.0,30.0,42.0,0.0,86.0,19.0,100.0,56.0,84.0,90.0,33.0,100.0,0.0,73.0,-1
124,49.0,83.0,8.0,57.0,0.0,17.0,51.0,0.0,93.0,28.0,100.0,70.0,61.0,100.0,8.0,86.0,-1
125,16.0,100.0,0.0,78.0,5.0,54.0,41.0,32.0,93.0,39.0,100.0,48.0,91.0,24.0,89.0,0.0,-1
126,22.0,93.0,0.0,95.0,50.0,97.0,100.0,100.0,67.0,81.0,43.0,56.0,28.0,28.0,30.0,0.0,-1
127,52.0,91.0,72.0,100.0,87.0,70.0,57.0,43.0,100.0,45.0,90.0,15.0,43.0,0.0,0.0,12.0,-1
128,96.0,100.0,52.0,95.0,48.0,76.0,96.0,98.0,100.0,85.0,71.0,54.0,39.0,25.0,0.0,0.0,-1
129,29.0,73.0,56.0,100.0,68.0,71.0,45.0,38.0,11.0,12.0,0.0,8.0,50.0,6.0,100.0,0.0,-1
130,14.0,94.0,4.0,63.0,43.0,36.0,36.0,0.0,10.0,27.0,0.0,72.0,47.0,92.0,100.0,100.0,1
131,53.0,87.0,32.0,47.0,98.0,64.0,69.0,100.0,58.0,69.0,100.0,61.0,71.0,3.0,0.0,0.0,-1
132,68.0,100.0,24.0,83.0,0.0,41.0,13.0,0.0,60.0,3.0,99.0,30.0,100.0,71.0,55.0,89.0,-1
133,100.0,98.0,60.0,100.0,29.0,73.0,10.0,41.0,6.0,6.0,46.0,0.0,46.0,27.0,0.0,30.0,-1
134,100.0,70.0,58.0,100.0,10.0,75.0,0.0,24.0,48.0,0.0,100.0,19.0,97.0,68.0,45.0,81.0,-1
135,84.0,100.0,59.0,99.0,16.0,72.0,0.0,42.0,20.0,12.0,100.0,0.0,94.0,22.0,4.0,27.0,-1
136,100.0,100.0,53.0,81.0,25.0,54.0,11.0,25.0,38.0,0.0,99.0,8.0,65.0,29.0,0.0,25.0,-1
137,0.0,42.0,30.0,56.0,59.0,72.0,86.0,94.0,100.0,100.0,80.0,68.0,62.0,35.0,53.0,0.0,-1
138,67.0,100.0,30.0,90.0,0.0,57.0,41.0,40.0,100.0,53.0,98.0,67.0,66.0,34.0,40.0,0.0,-1
139,73.0,85.0,31.0,65.0,0.0,0.0,52.0,9.0,100.0,57.0,82.0,100.0,81.0,78.0,38.0,25.0,-1
140,28.0,82.0,0.0,39.0,30.0,0.0,80.0,5.0,100.0,54.0,70.0,99.0,22.0,100.0,7.0,50.0,-1
141,86.0,100.0,48.0,79.0,13.0,52.0,0.0,22.0,45.0,0.0,100.0,16.0,76.0,40.0,6.0,35.0,-1
142,40.0,79.0,61.0,100.0,78.0,72.0,46.0,41.0,0.0,16.0,1.0,5.0,61.0,1.0,100.0,0.0,-1
143,100.0,88.0,69.0,100.0,20.0,84.0,70.0,86.0,93.0,71.0,70.0,44.0,38.0,19.0,0.0,0.0,-1
144,30.0,98.0,16.0,60.0,53.0,28.0,46.0,0.0,13.0,29.0,0.0,68.0,27.0,95.0,100.0,100.0,1
145,2.0,78.0,46.0,99.0,100.0,100.0,77.0,76.0,94.0,38.0,94.0,0.0,41.0,3.0,0.0,28.0,-1
146,0.0,42.0,34.0,57.0,64.0,79.0,95.0,100.0,100.0,85.0,81.0,57.0,62.0,28.0,45.0,0.0,-1
147,19.0,100.0,4.0,77.0,0.0,51.0,46.0,36.0,100.0,47.0,96.0,49.0,87.0,23.0,77.0,0.0,-1
148,3.0,66.0,16.0,100.0,27.0,69.0,14.0,32.0,0.0,0.0,33.0,5.0,67.0,10.0,100.0,11.0,-1
149,47.0,100.0,40.0,82.0,18.0,49.0,0.0,19.0,53.0,20.0,92.0,34.0,94.0,35.0,100.0,0.0,-1
150,29.0,38.0,61.0,60.0,92.0,83.0,100.0,100.0,73.0,76.0,49.0,50.0,25.0,25.0,0.0,0.0,-1
151,0.0,63.0,41.0,77.0,79.0,94.0,100.0,100.0,85.0,74.0,75.0,48.0,71.0,22.0,82.0,0.0,-1
152,0.0,52.0,52.0,83.0,97.0,100.0,91.0,55.0,84.0,10.0,21.0,0.0,21.0,7.0,100.0,7.0,-1
153,65.0,100.0,24.0,84.0,0.0,48.0,9.0,10.0,61.0,0.0,100.0,24.0,58.0,47.0,2.0,46.0,-1
154,88.0,80.0,12.0,80.0,100.0,100.0,100.0,91.0,65.0,68.0,29.0,46.0,6.0,23.0,0.0,0.0,-1
155,13.0,80.0,53.0,71.0,100.0,100.0,23.0,99.0,0.0,71.0,81.0,74.0,74.0,40.0,47.0,0.0,-1
156,0.0,79.0,51.0,59.0,100.0,29.0,51.0,0.0,22.0,26.0,51.0,60.0,73.0,94.0,9.0,100.0,-1
157,72.0,100.0,38.0,84.0,13.0,63.0,0.0,40.0,40.0,28.0,88.0,31.0,100.0,22.0,84.0,0.0,-1
158,0.0,100.0,67.0,100.0,86.0,72.0,56.0,37.0,34.0,0.0,6.0,33.0,32.0,45.0,100.0,46.0,-1
159,37.0,84.0,69.0,100.0,96.0,87.0,55.0,61.0,88.0,38.0,100.0,9.0,51.0,0.0,0.0,3.0,-1
160,0.0,100.0,73.0,97.0,95.0,80.0,100.0,64.0,95.0,48.0,82.0,31.0,64.0,15.0,23.0,0.0,-1
161,0.0,59.0,77.0,74.0,100.0,100.0,17.0,93.0,7.0,71.0,82.0,68.0,45.0,35.0,20.0,0.0,-1
162,2.0,85.0,31.0,100.0,76.0,74.0,62.0,37.0,47.0,0.0,100.0,8.0,68.0,30.0,0.0,41.0,-1
163,13.0,100.0,0.0,76.0,28.0,53.0,94.0,56.0,100.0,76.0,93.0,66.0,94.0,33.0,91.0,0.0,-1
164,21.0,75.0,40.0,100.0,85.0,94.0,67.0,63.0,100.0,43.0,95.0,11.0,47.0,0.0,0.0,13.0,-1
165,48.0,100.0,15.0,83.0,0.0,39.0,23.0,1.0,71.0,0.0,100.0,34.0,86.0,77.0,44.0,98.0,-1
166,24.0,100.0,100.0,99.0,93.0,78.0,64.0,48.0,39.0,17.0,19.0,0.0,0.0,31.0,72.0,38.0,-1
167,45.0,85.0,93.0,100.0,100.0,98.0,48.0,88.0,7.0,62.0,48.0,48.0,48.0,18.0,0.0,0.0,1
168,54.0,93.0,0.0,88.0,54.0,46.0,70.0,0.0,5.0,9.0,54.0,52.0,100.0,96.0,7.0,100.0,-1
169,46.0,83.0,87.0,100.0,100.0,79.0,75.0,54.0,90.0,36.0,100.0,13.0,49.0,0.0,0.0,12.0,-1
170,84.0,100.0,46.0,98.0,13.0,60.0,0.0,19.0,53.0,0.0,100.0,32.0,33.0,36.0,10.0,4.0,-1
171,26.0,74.0,19.0,49.0,64.0,21.0,20.0,0.0,1.0,25.0,0.0,64.0,45.0,87.0,100.0,100.0,1
172,39.0,62.0,78.0,88.0,79.0,100.0,57.0,64.0,38.0,30.0,0.0,0.0,34.0,4.0,100.0,0.0,-1
173,14.0,100.0,1.0,54.0,51.0,47.0,36.0,0.0,0.0,14.0,6.0,71.0,42.0,93.0,100.0,97.0,1
174,0.0,65.0,43.0,76.0,93.0,96.0,100.0,100.0,71.0,75.0,48.0,50.0,26.0,25.0,5.0,0.0,-1
175,0.0,70.0,53.0,88.0,64.0,100.0,62.0,78.0,70.0,57.0,83.0,36.0,100.0,14.0,98.0,0.0,-1
176,0.0,67.0,16.0,80.0,64.0,100.0,85.0,99.0,85.0,74.0,89.0,49.0,95.0,24.0,100.0,0.0,-1
177,88.0,99.0,45.0,82.0,78.0,75.0,90.0,100.0,100.0,68.0,93.0,36.0,59.0,9.0,0.0,0.0,-1
178,30.0,100.0,16.0,84.0,0.0,51.0,28.0,26.0,80.0,33.0,100.0,65.0,79.0,34.0,68.0,0.0,-1
179,24.0,100.0,14.0,55.0,72.0,52.0,54.0,0.0,8.0,2.0,0.0,58.0,35.0,95.0,100.0,99.0,1
180,0.0,78.0,18.0,96.0,59.0,95.0,100.0,100.0,86.0,82.0,66.0,56.0,52.0,29.0,47.0,0.0,-1
181,0.0,91.0,46.0,100.0,85.0,80.0,91.0,40.0,88.0,0.0,99.0,22.0,100.0,52.0,50.0,49.0,-1
182,21.0,92.0,85.0,100.0,90.0,67.0,67.0,34.0,49.0,0.0,0.0,26.0,27.0,43.0,100.0,42.0,-1
183,31.0,95.0,5.0,61.0,0.0,23.0,32.0,0.0,77.0,18.0,100.0,51.0,82.0,85.0,37.0,100.0,-1
184,19.0,73.0,54.0,91.0,100.0,100.0,99.0,78.0,86.0,52.0,78.0,26.0,43.0,8.0,0.0,0.0,-1
185,98.0,100.0,52.0,77.0,18.0,52.0,0.0,25.0,25.0,0.0,100.0,5.0,97.0,29.0,23.0,22.0,-1
186,79.0,74.0,21.0,67.0,15.0,92.0,71.0,100.0,100.0,75.0,73.0,45.0,36.0,18.0,0.0,0.0,-1
187,100.0,100.0,59.0,79.0,26.0,54.0,2.0,28.0,1.0,0.0,58.0,0.0,58.0,21.0,0.0,19.0,-1
188,19.0,86.0,35.0,72.0,95.0,94.0,0.0,100.0,60.0,78.0,100.0,52.0,67.0,26.0,26.0,0.0,-1
189,16.0,59.0,0.0,31.0,31.0,0.0,78.0,15.0,100.0,55.0,87.0,98.0,40.0,100.0,6.0,67.0,-1
190,83.0,86.0,44.0,100.0,0.0,74.0,58.0,67.0,100.0,94.0,89.0,63.0,77.0,31.0,75.0,0.0,-1
191,0.0,97.0,43.0,100.0,58.0,62.0,41.0,17.0,26.0,0.0,8.0,36.0,54.0,34.0,100.0,33.0,-1
192,0.0,70.0,63.0,80.0,90.0,100.0,100.0,89.0,100.0,67.0,92.0,44.0,84.0,22.0,71.0,0.0,-1
193,30.0,100.0,4.0,67.0,0.0,24.0,30.0,0.0,66.0,11.0,95.0,41.0,100.0,82.0,64.0,93.0,-1
194,100.0,96.0,71.0,100.0,42.0,79.0,49.0,56.0,91.0,51.0,82.0,16.0,42.0,0.0,0.0,1.0,1
195,47.0,100.0,19.0,67.0,0.0,30.0,20.0,0.0,68.0,5.0,100.0,33.0,91.0,72.0,50.0,88.0,-1
196,100.0,100.0,64.0,98.0,26.0,85.0,36.0,63.0,76.0,58.0,75.0,24.0,42.0,1.0,0.0,0.0,1
197,29.0,47.0,59.0,71.0,100.0,100.0,90.0,81.0,74.0,50.0,66.0,18.0,0.0,0.0,99.0,7.0,-1
198,89.0,87.0,38.0,100.0,17.0,78.0,80.0,77.0,100.0,76.0,92.0,34.0,61.0,0.0,0.0,4.0,-1
199,67.0,100.0,36.0,82.0,0.0,60.0,5.0,37.0,66.0,38.0,100.0,50.0,73.0,25.0,56.0,0.0,-1
200,53.0,100.0,23.0,77.0,0.0,57.0,74.0,66.0,100.0,79.0,70.0,85.0,44.0,42.0,16.0,0.0,-1
